species	NCBI.taxid	mass_kg	mass_db	lifespan_days	lifespan_db	length_cm	length_db	polymorphism_derived_Ne
Electrophorus_electricus	8005	20	ADW;fishbase	8030	ADW	250	ADW;fishbase;EOL	NA
Elephantulus_edwardii	28737	0.05	AnAge	NA	NA	11.886	EOL	NA
Elephas_maximus	9783	6000	ADW	31390	ADW	640	ADW	NA
Eleutherodactylus_coqui	57060	0.117	ADW	2190	ADW	5.5	ADW	NA
Elysia_chlorotica	188477	NA	NA	330	ADW	6	ADW	NA
Empidonax_traillii	164674	0.0164	ADW	4015	AnAge;ADW	17	ADW text	NA
Engystomops_pustulosus	76066	0.00236	EOL	NA	NA	3	EOL	NA
Enhydra_lutris	34882	45	ADW	10800	EOL	150	ADW	NA
Enterobius_vermicularis	51028	NA	NA	60	ADW	1.3	ADW	NA
Eolophus_roseicapilla	176039	0.432	EOL	14600	AnAge;EOL	NA	NA	NA
Epinephelus_fuscoguttatus	293821	17.422	EOL	14600	EOL;fishbase	120	EOL;fishbase	NA
Epinephelus_lanceolatus	310571	400	fishbase	NA	NA	270	fishbase;EOL	NA
Epinephelus_moara	300413	33	fishbase;EOL Epinephelus bruneus	NA	NA	136	fishbase;EOL Epinephelus bruneus	NA
Eptesicus_fuscus	29078	0.023	AnAge;ADW	7200	EOL	13	ADW	NA
Equus_asinus	9793	320	ADW	18250	ADW	140	ADW	NA
Equus_caballus	9796	900	ADW	22630	ADW	280	ADW	NA
Equus_quagga	89248	300	ADW	14600	ADW	NA	NA	NA
Erinaceus_europaeus	9365	1.2	ADW	5040	EOL	26.5	ADW	NA
Eriocheir_sinensis	95602	NA	NA	1825	ADW	8	ADW text	NA
Erpetoichthys_calabaricus	27687	NA	NA	NA	NA	37	EOL;fishbase	NA
Erythrocercus_mccallii	107208	0.008	EOL	NA	NA	NA	NA	NA
Esox_lucius	8010	28.4	fishbase	10950	AnAge;fishbase	150	fishbase;EOL	NA
Etheostoma_cragini	417921	NA	NA	1095	AnAge;EOL;fishbase	6	EOL;fishbase	NA
Etheostoma_spectabile	54343	NA	NA	NA	NA	7.2	EOL;fishbase	NA
Eublepharis_macularius	481883	0.03553	AnAge	10402.5	AnAge;EOL	25.4	ADW text	184799.010680433
Eubucco_bourcierii	91767	0.041	EOL	NA	NA	NA	NA	NA
Eudyptes_chrysocome	79626	3	ADW	3650	ADW	55	ADW	NA
Eudyptes_chrysolophus	79627	6	ADW	NA	NA	71	ADW text	NA
Eudyptes_filholi	1419345	6	ADW Eudyptes schlegeli	7300	ADW Eudyptes schlegeli	75	ADW Eudyptes schlegeli	NA
Eudyptes_schlegeli	57240	6	ADW	7300	ADW	75	ADW	NA
Eudyptes_sclateri	92688	6.5	ADW text	NA	NA	65	ADW text	NA
Eudyptula_albosignata	345258	1.5	EOL Eudyptula minor	NA	NA	NA	NA	NA
Eudyptula_minor	37083	2.13	EOL	15403	AnAge	30	ADW	NA
Eulacestoma_nigropectus	461239	0.0232	EOL	NA	NA	NA	NA	NA
Eumetopias_jubatus	34886	1120	ADW	11972	AnAge	340	ADW	NA
Euphydryas_editha	104508	NA	NA	10	ADW text	NA	NA	NA
Eurypyga_helias	54383	0.21	AnAge;EOL	5475	AnAge;EOL	NA	NA	NA
Eurystomus_gularis	325343	0.11	EOL	NA	NA	NA	NA	NA
Eurytemora_affinis	88015	NA	NA	150	Life cycle traits of two transatlantic populations of Eurytemora affinis (Copepoda: Calanoida): salinity effects	0.19	EOL	NA
Falco_biarmicus	345155	0.9	ADW	NA	NA	50	ADW	NA
Falco_cherrug	345164	1.3	ADW	9125	ADW	55	ADW	NA
Falco_naumanni	148594	0.1525	AnAge;EOL	3978.5	AnAge;EOL	36	ADW	NA
Falco_peregrinus	8954	1.058	EOL	9125	AnAge;ADW	58	ADW	NA
Falco_rusticolus	120794	2.1	ADW	4927.5	AnAge;EOL	56	ADW format	NA
Falcunculus_frontatus	254539	0.0332	EOL	4343.5	AnAge	NA	NA	NA
Fasciolopsis_buski	27845	NA	NA	365	ADW	7.5	ADW	NA
Felis_catus	9685	5.4	ADW	12240	EOL	76.2	ADW	109129.072965449
Ficedula_albicollis	59894	0.0127	AnAge;EOL	3577	AnAge;EOL	NA	NA	218264.361795006
Formicarius_rufipectus	1118560	0.082	EOL	NA	NA	NA	NA	NA
Fregata_magnificens	37042	1.815	ADW	12410	AnAge	230	ADW	NA
Fregetta_grallaria	79628	0.065	EOL	NA	NA	NA	NA	NA
Fukomys_damarensis	885580	0.045	Lynch et al. 2023	NA	NA	NA	NA	40186.3051247917
Fulmarus_glacialis	30455	1	ADW	18615	AnAge	112	EOL	NA
Fundulus_heteroclitus	8078	NA	NA	1460	EOL;fishbase	17.8	ADW text	NA
Furnarius_figulus	463165	0.028	EOL	NA	NA	NA	NA	NA
Gadus_morhua	8049	96	ADW;fishbase	9125	AnAge;fishbase	200	fishbase;ADW;EOL	NA
Galbula_dea	1109041	0.0315	EOL	NA	NA	NA	NA	NA
Galemys_pyrenaicus	202257	0.0575	AnAge;ADW	1800	EOL	12.5	EOL	NA
Galeopterus_variegatus	482537	NA	NA	103.5	EOL	37.943	EOL	NA
Gallus_gallus	9031	2.5802	ADW	10950	ADW;AnAge;EOL	70	ADW text	221800.305663105
Gambusia_affinis	33528	0.002	EOL	1095	AnAge;fishbase;EOL	7	fishbase;EOL	NA
Gasterosteus_aculeatus	69293	NA	NA	2920	AnAge;ADW;fishbase	11	EOL;fishbase	NA
Gavia_stellata	37040	1.816	AnAge;ADW	8760	AnAge	116	EOL	NA
Gavialis_gangeticus	94835	181	ADW	21535	AnAge	650	ADW	NA
Gekko_japonicus	146911	0.05413	AnAge Gekko gecko	8577.5	AnAge Gekko gecko	NA	NA	NA
Geococcyx_californianus	8947	0.376	AnAge	3285	AnAge	62	ADW	NA
Geospiza_fortis	48883	0.032	EOL	NA	NA	NA	NA	NA
Girardinichthys_multiradiatus	208333	NA	NA	NA	NA	5	EOL;fishbase	NA
Glaucidium_brasilianum	78217	0.0765	ADW	NA	NA	18	ADW	NA
Globicephala_melas	9731	3800	ADW	21900	AnAge;ADW	850	ADW	NA
Gongylonema_pulchrum	637853	NA	NA	NA	NA	14.5	EOL	NA
Gopherus_evgoodei	1825980	23	ADW Gopherus agassizii	29200	ADW Gopherus agassizii	36	ADW Gopherus agassizii	NA
Gopherus_flavomarginatus	286002	100	ADW	25550	ADW	37.1	ADW format	NA
Gorilla_gorilla	9593	275	ADW	21936.5	AnAge	175	ADW text	35166.6744567528
Gouania_willdenowi	441366	NA	NA	NA	NA	6	EOL	NA
Gracilinanus_agilis	191870	0.022	AnAge	2226.5	AnAge;ADW	27.5	EOL	NA
Grallaria_varia	117165	0.134	EOL	NA	NA	NA	NA	NA
Grantiella_picta	266360	0.025	EOL	NA	NA	NA	NA	NA
Grus_americana	9117	8.5	ADW	14600	AnAge;ADW	160	ADW format	NA
Gulo_gulo	48420	30	ADW	7117.5	AnAge	105	ADW	NA
Gymnodraco_acuticeps	8218	0.0862	fishbase	NA	NA	38.5	EOL;fishbase	NA
Gymnogyps_californianus	33616	11.175	AnAge	16425	AnAge;ADW	139.7	ADW text	NA
Gymnorhina_tibicen	9132	0.36	EOL	NA	NA	NA	NA	NA
Haemonchus_placei	6290	NA	NA	NA	NA	2.55	EOL	NA
Haliaeetus_albicilla	8969	6.697	AnAge	15330	AnAge;EOL	240	EOL	NA
Haliaeetus_leucocephalus	52644	4.3	ADW	17520	AnAge	94	ADW	NA
Halichoerus_grypus	9711	268	AnAge	16802.1	EOL	220	ADW	NA
Haliotis_rubra	36100	0.162	EOL	NA	NA	13.1	EOL	NA
Haliotis_rufescens	6454	0.469	EOL	NA	NA	20.7	EOL	NA
Halyomorpha_halys	286706	NA	NA	300	ADW	1.7	ADW	NA
Haplochromis_burtoni	8153	NA	NA	NA	NA	15	EOL Astatotilapia burtoni;fishbase	NA
Harmonia_axyridis	115357	NA	NA	1095	ADW	0.8	ADW	NA
Harpegnathos_saltator	610380	NA	NA	653.35	Liebig 2004	1.7	EOL image	NA
Harpia_harpyja	202280	9	ADW	12775	ADW	109	ADW	NA
Heliornis_fulica	54369	0.132	EOL	NA	NA	NA	NA	NA
Hemibagrus_wyckioides	337641	86	fishbase;EOL	NA	NA	130	fishbase;EOL	NA
Hemicordylus_capensis	884348	NA	NA	NA	NA	9.59	EOL	NA
Hermetia_illucens	343691	0.00022	ADW	365	ADW	2	ADW	NA
Herpetotheres_cachinnans	56343	0.8	ADW	5110	ADW	47	ADW	NA
Heterocephalus_glaber	10181	0.08	ADW	11315	ADW;AnAge	16.5	ADW	NA
Hippocampus_comes	109280	NA	NA	NA	NA	18.7	fishbase	NA
Hippocampus_zosterae	109293	NA	NA	365	ADW format;AnAge;fishbase	5	ADW;EOL;fishbase	NA
Hippoglossus_hippoglossus	8267	320	fishbase	32850	AnAge	470	EOL;fishbase	NA
Hippoglossus_stenolepis	195615	363	fishbase	20075	EOL;fishbase	267	EOL;fishbase	NA
Hippolais_icterina	68497	0.0132	AnAge;EOL	3942	AnAge;EOL	NA	NA	NA
Hirundo_rustica	43150	0.022	EOL	5840	AnAge	19.9	ADW	NA
Homarus_americanus	6706	20	ADW	36500	AnAge	110	ADW	NA
Homo_sapiens	9606	62.035	AnAge	44712.5	AnAge	200	NA	22118.2380471877
Hyaena_hyaena	95912	45	ADW	9125	AnAge	110.47	EOL	NA
Hylia_prasina	208073	0.0165	EOL	NA	NA	NA	NA	NA
Hylobates_moloch	81572	9	ADW	16425	AnAge;ADW	67.56	EOL	NA
Hypocryptadius_cinnamomeus	589841	0.0315	EOL	NA	NA	NA	NA	NA
Hypomesus_transpacificus	137520	NA	NA	365	EOL;fishbase	12	EOL;fishbase	NA
Ibidorhyncha_struthersii	425643	0.32	EOL	NA	NA	NA	NA	NA
Ictalurus_furcatus	66913	68	fishbase	9125	ADW error unit	165	EOL;fishbase	NA
Ictalurus_punctatus	7998	26.3	fishbase	14600	ADW	132	fishbase;EOL	NA
Ictidomys_tridecemlineatus	43179	0.1727	AnAge	2883.5	AnAge	13.75	EOL	NA
Ifrita_kowaldi	461245	0.036	EOL	NA	NA	NA	NA	NA
Illadopsis_cleaveri	201329	0.034	EOL	NA	NA	NA	NA	NA
Indicator_indicator	1002788	0.0489	ADW	4380	ADW	20	ADW	NA
Indicator_maculatus	545262	0.051	EOL	NA	NA	NA	NA	NA
Ixodes_scapularis	6945	NA	NA	730	ADW	0.3	ADW	NA
Jacana_jacana	54508	0.0875	EOL	NA	NA	NA	NA	NA
Jaculus_jaculus	51337	0.073	ADW	2664.5	AnAge	11	ADW	NA
Kryptolebias_marmoratus	37003	NA	NA	NA	NA	7.5	EOL;fishbase	NA
Labeo_rohita	84645	45	fishbase	3650	AnAge;EOL;fishbase	200	EOL;fishbase	NA
Labrus_bergylta	56723	4.4	fishbase	10585	AnAge;fishbase;EOL	65.9	fishbase;EOL	NA
Lagenorhynchus_obliquidens	90247	200	ADW	16790	AnAge;ADW	250	ADW	NA
Lagopus_leucura	30410	0.425	ADW	5475	AnAge;EOL	31	ADW	NA
Lagopus_muta	64668	0.5355	AnAge;EOL	4270.5	AnAge	40.64	ADW text	NA
Lamprotornis_superbus	245042	0.077	EOL	9125	AnAge	18	Birds of the world	NA
Lanius_ludovicianus	28713	0.046	AnAge;ADW	4562.5	AnAge	25.4	ADW text	NA
Larimichthys_crocea	215358	0.2436	fishbase	2190	fishbase;EOL	80	fishbase;EOL	1010407.37553914
Lasius_niger	67767	NA	NA	10220	AnAge;EOL	NA	NA	NA
Lates_calcarifer	8187	60	fishbase	12775	fishbase	200	ADW;EOL;fishbase	NA
Latimeria_chalumnae	7897	95	fishbase	17520	AnAge;ADW;EOL;fishbase	200	EOL;fishbase;ADW text	NA
Leiothrix_lutea	36275	0.0215	AnAge;EOL	5475	AnAge;EOL	NA	NA	NA
Lemur_catta	9447	2.555	AnAge;ADW	13614.5	AnAge	103.5	EOL	NA
Leopardus_geoffroyi	46844	7.4	ADW	8395	AnAge	75	ADW	NA
Lepeophtheirus_salmonis	72036	NA	NA	NA	NA	1.8	EOL	NA
Lepisosteus_oculatus	7918	4.4	fishbase	6570	AnAge;fishbase;ADW	150	fishbase;EOL	NA
Leptinotarsa_decemlineata	7539	NA	NA	720	ADW	1	ADW	NA
Leptonychotes_weddellii	9713	600	ADW	9000	EOL	350	ADW	NA
Leptosomus_discolor	188344	0.301	EOL	NA	NA	NA	NA	NA
Leucoraja_erinacea	7782	NA	NA	4380	fishbase	62	fishbase	NA
Limosa_lapponica	161683	0.455	EOL	12410	AnAge;EOL	80	EOL	NA
Limulus_polyphemus	6850	NA	NA	NA	NA	60	EOL	NA
Linepithema_humile	83485	0.0000043	ADW	365	ADW	0.5	ADW error unit;Keller 1989	NA
Lingula_anatina	7574	0.0164	EOL	NA	NA	4.9	EOL	NA
Liparis_tanakae	230148	1.7	fishbase	NA	NA	56.3	fishbase;EOL	NA
Lipotes_vexillifer	118797	167	ADW	8760	AnAge;ADW	253	ADW	NA
Lithobates_catesbeianus	8400	0.5	ADW	5840	AnAge;ADW	20.3	EOL	NA
Loa_loa	7209	NA	NA	NA	NA	7	H.D. Alan Lindquist, John H. Cross, in Infectious Diseases (Fourth Edition), 2017;ADW	NA
Locustella_ochotensis	187437	0.024	EOL	NA	NA	NA	NA	NA
Lonchura_striata	40157	0.0123	AnAge;EOL	3650	AnAge;EOL	11	thainationalparks	NA
Lontra_canadensis	76717	14	ADW	9855	AnAge	130	ADW	NA
Lottia_gigantea	225164	0.00255	EOL	7300	ADW	10	ADW	NA
Loxia_curvirostra	64802	0.053	EOL	5876.5	AnAge	20	ADW	NA
Loxia_leucoptera	96539	0.0379	EOL	1460	AnAge;EOL	NA	NA	NA
Loxodonta_africana	9785	6100	ADW	29200	ADW	400	ADW	NA
Lucifuga_dentata	670423	NA	NA	NA	NA	15.2	fishbase;EOL	NA
Lucilia_cuprina	7375	NA	NA	20.56	Zied 2003	0.9	Levot 2009	NA
Lucilia_sericata	13632	NA	NA	NA	NA	1	ADW	NA
Lutra_lutra	9657	6.75	AnAge;ADW	8030	ADW	68.794	EOL	NA
Lutzomyia_longipalpis	7200	NA	NA	NA	NA	0.2	EOL image	NA
Lynx_canadensis	61383	17.3	ADW	9782	AnAge	106.7	ADW	NA
Lynx_pardinus	191816	15	ADW	4745	ADW	130	ADW	NA
Lynx_rufus	61384	15	ADW	11789.5	AnAge;ADW	105	ADW	NA
Lytechinus_pictus	7653	NA	NA	NA	NA	3.2	EOL text	NA
Lytechinus_variegatus	7654	NA	NA	NA	NA	2.5	EOL	NA
Macaca_fascicularis	9541	7	ADW	14235	AnAge	118	EOL	NA
Macaca_mulatta	9544	12	ADW	14600	AnAge	82	EOL	110931.312403077
Macaca_nemestrina	9545	14.5	ADW	13724	AnAge	84	EOL	NA
Macaca_thibetana	54602	10.3	AnAge	9855	AnAge	67.3	EOL	NA
Machaerirhynchus_nigripectus	1160894	0.0133	EOL	NA	NA	NA	NA	NA
Macrostomum_lignano	282301	NA	NA	365	AnAge	NA	NA	NA
Malaclemys_terrapin	8485	0.72	ADW;AnAge	NA	NA	22.86	ADW text	NA
Malurus_elegans	720584	0.0115	EOL	3650	AnAge	NA	NA	NA
Manacus_candei	415023	0.0209	EOL	NA	NA	NA	NA	NA
Manacus_vitellinus	328815	0.0171	EOL	NA	NA	NA	NA	NA
Mandrillus_leucophaeus	9568	25	ADW	16790	ADW	76.4	ADW	122323.35356908
Manis_javanica	9974	12	static1.squarespace.com	7300	ADW Manis crassicaudata	88	ADW	NA
Manis_pentadactyla	143292	2.35	AnAge;ADW	NA	NA	60	ADW text	NA
Marmota_flaviventris	93162	5.22	ADW	7738	AnAge	70	ADW	NA
Marmota_marmota	9993	4.54	ADW text	6570	ADW	41.276	EOL Marmota monax	NA
Marmota_monax	9995	6	ADW	5110	AnAge;ADW	67.5	ADW	NA
Mastacembelus_armatus	205130	0.5	EOL;fishbase	NA	NA	90	fishbase	NA
Mastomys_coucha	35658	NA	NA	NA	NA	11.966	EOL Mastomys natalensis	NA
Mauremys_mutica	74926	0.3195	AnAge	8066.5	AnAge;EOL	NA	NA	NA
Mauremys_reevesii	260615	1.92397	EOL	8833	AnAge;EOL	NA	NA	NA
Maylandia_zebra	106582	NA	NA	NA	NA	11.3	EOL;fishbase	NA
Megachile_rotundata	143995	NA	NA	60	ADW	1.9	ADW error unit	NA
Megadyptes_antipodes	37085	8	ADW	8395	ADW	78	ADW	NA
Megalobrama_amblycephala	75352	NA	NA	NA	NA	200	fishbase;EOL	NA
Megalops_atlanticus	7932	161	ADW;fishbase	22995	ADW	250	EOL;fishbase	NA
Megalops_cyprinoides	118141	18	fishbase	16060	AnAge;fishbase;EOL	150	fishbase;EOL	NA
Melanocharis_versteri	254552	0.02	EOL	NA	NA	NA	NA	NA
Melanotaenia_boesemani	1250792	NA	NA	NA	NA	9	EOL;fishbase	NA
Meleagris_gallopavo	9103	11	ADW	4745	AnAge;ADW	NA	NA	NA
Meles_meles	9662	16.7	ADW	6935	ADW	90	ADW	NA
Meloidogyne_enterolobii	390850	NA	NA	NA	NA	0.0667	Philbrick et al. 2020	NA
Melopsittacus_undulatus	13146	0.03	AnAge;ADW	7665	AnAge;ADW	20	ADW	NA
Melospiza_melodia	44397	0.0457	EOL	4124.5	AnAge	17	ADW	NA
Melozone_crissalis	40204	0.047	AnAge	4672	AnAge	NA	NA	NA
Menidia_menidia	238744	NA	NA	730	AnAge;fishbase;EOL	15	fishbase;EOL	NA
Menura_novaehollandiae	47692	0.97995	AnAge	6533.5	AnAge	NA	NA	NA
Mercenaria_mercenaria	6596	1.02	EOL	38690	AnAge	17	EOL	NA
Meriones_unguiculatus	10047	0.133	ADW	2299.5	AnAge	12	ADW	NA
Merops_nubicus	57421	0.059	ADW	6205	ADW	27	ADW	NA
Mesembrinibis_cayennensis	1118748	0.865	EOL	NA	NA	NA	NA	NA
Mesitornis_unicolor	54374	0.148	EOL	NA	NA	NA	NA	NA
Mesocricetus_auratus	10036	0.125	ADW	3600	EOL	18	EOL	NA
Microcebus_murinus	30608	0.0648	ADW;AnAge	6643	AnAge	28.5	EOL	41116.7014879783
Micropterus_dolomieu	147949	5.4	fishbase	9490	AnAge;ADW;fishbase	69	EOL;fishbase	NA
Micropterus_salmoides	27706	10.1	fishbase;ADW	8395	ADW;AnAge;fishbase	97	ADW;fishbase;EOL	NA
Microtus_ochrogaster	79684	0.07	ADW	1934.5	AnAge	18	ADW	NA
Microtus_oregoni	111838	NA	NA	450	EOL	9.922	EOL	NA
Miniopterus_natalensis	291302	NA	NA	4745	www.ewt.org.za	NA	NA	NA
Mionectes_macconnelli	254557	0.016	EOL	NA	NA	NA	NA	NA
Mirounga_angustirostris	9716	2300	ADW	7305	EOL	500	ADW	NA
Mirounga_leonina	9715	3700	ADW	8280	EOL	600	ADW	NA
Misgurnus_anguillicaudatus	75329	NA	NA	NA	NA	28	EOL;fishbase	NA
Mizuhopecten_yessoensis	6573	0.261	EOL	2190	EOL	18	EOL	NA
Mohoua_ochrocephala	874463	0.0325	EOL	NA	NA	NA	NA	NA
Molossus_molossus	27622	0.014	AnAge	2044	AnAge	5.982	EOL	NA
Molothrus_ater	84834	0.05	ADW	6168.5	ADW;AnAge	22	ADW	NA
Monodelphis_domestica	13616	0.155	ADW	3650	ADW	20	Macrini 2004	197962.059313904
Monodon_monoceros	40151	1600	ADW	18250	AnAge;ADW	509.253	EOL	NA
Monomorium_pharaonis	307658	NA	NA	NA	NA	0.2	ADW	NA
Monopterus_albus	43700	0.25	ADW	NA	NA	100	ADW;fishbase;EOL	NA
Morone_saxatilis	34816	57	fishbase	10950	AnAge;fishbase;ADW	200	fishbase;EOL	NA
Moschus_berezovskii	68408	12	AnAge	NA	NA	89.999	EOL	53179.3337042461
Motacilla_alba	45807	0.0329	EOL	5000.5	AnAge;EOL	15	EOL image	NA
Mugil_cephalus	48193	8	ADW	5840	AnAge;fishbase	120	ADW;EOL	NA
Muntiacus_muntjak	9888	35	ADW	6862	AnAge	135	ADW	NA
Muraenolepis_orangiensis	630683	NA	NA	NA	NA	30	EOL;fishbase	NA
Mus_caroli	10089	0.0112	AnAge;EOL	1204.5	AnAge observations	NA	NA	NA
Mus_musculus	10090	0.03	ADW	2190	ADW format	9.5	ADW	163119.218827587
Musca_domestica	7370	0.000012	ADW	60	ADW	0.8	ADW	NA
Mustela_erminea	36723	0.116	ADW	4562.5	AnAge;ADW	33	ADW	NA
Mustela_putorius	9668	1.71	ADW	5110	ADW	35.892	EOL	NA
Mya_arenaria	6604	0.047	EOL	10220	AnAge	7.7	EOL	NA
Myiagra_hebetior	381031	0.0215	EOL	NA	NA	NA	NA	NA
Myodes_glareolus	447135	0.0208	AnAge	1788.5	AnAge	11	ADW	NA
Myotis_brandtii	109478	0.007	AnAge	14965	AnAge	5	First-nature	NA
Myotis_lucifugus	59463	0.014	ADW	12410	AnAge	10.2	ADW	NA
Myotis_myotis	51298	0.045	ADW	13541.5	AnAge	8	ADW	NA
Myripristis_murdjan	586833	NA	NA	NA	NA	60	fishbase;EOL	NA
Mystacornis_crossleyi	98133	0.0285	EOL	NA	NA	NA	NA	NA
Mytilus_californianus	6549	0.0189	EOL	1095	ADW;AnAge	53	EOL	NA
Myxocyprinus_asiaticus	70543	4.001	EOL	NA	NA	68	fishbase;EOL	NA
Naja_naja	35670	NA	NA	11789.5	AnAge;EOL	220	ADW text	NA
Nasonia_vitripennis	7425	NA	NA	25	King 1963	0.3	Burton- Chellew 2007	NA
Necator_americanus	51031	NA	NA	1825	ADW text	1.1	ADW	NA
Nematolebias_whitei	451745	NA	NA	NA	NA	8	EOL;fishbase	NA
Nematostella_vectensis	45351	0.025	ADW	NA	NA	6	EOL;ADW text	NA
Neodrepanis_coruscans	254563	0.0085	EOL	NA	NA	NA	NA	NA
Neolamprologus_brichardi	32507	NA	NA	NA	NA	9	EOL;fishbase	NA
Neomonachus_schauinslandi	29088	NA	NA	10800	EOL Monachus schauinslandi	223.283	EOL Monachus schauinslandi	NA
Neopelma_chrysocephalum	114329	0.017	EOL	NA	NA	NA	NA	NA
Neophocaena_asiaeorientalis	189058	70	EOL Neophocaena phocaenoides	8280	EOL Neophocaena phocaenoides	170	EOL Neophocaena phocaenoides	NA
Neopipo_cinnamomea	456388	0.012	EOL	NA	NA	NA	NA	NA
Neotoma_lepida	56216	0.35	ADW	3832.5	AnAge;ADW	40.7	ADW	NA
Nesospiza_acunhae	381881	0.034	EOL	NA	NA	NA	NA	NA
Nestor_notabilis	176057	0.922	ADW	17155	AnAge	48	ADW	NA
Nibea_albiflora	240163	1.5	fishbase	1460	fishbase;EOL	43.5	EOL;fishbase	NA
Nicator_chloris	237433	0.055	EOL	NA	NA	NA	NA	NA
Nicrophorus_vespilloides	110193	NA	NA	NA	NA	1.6	EOL	NA
Nipponia_nippon	128390	1.9	AnAge	9490	ADW	75	ADW	NA
Nomascus_leucogenys	61853	6	AnAge	16096.5	AnAge	63	ADW	NA
Notechis_scutatus	8663	NA	NA	5146.5	AnAge;EOL	87.1	EOL	NA
Nothobranchius_furzeri	105023	NA	NA	401.5	AnAge	6.5	EOL;fishbase	NA
Nothoprocta_ornata	83376	0.761	EOL	NA	NA	NA	NA	NA
Nothoprocta_pentlandii	2585814	0.384	EOL	NA	NA	NA	NA	NA
Nothoprocta_perdicaria	30464	0.458	EOL	NA	NA	NA	NA	NA
Notiomystis_cincta	366454	0.094	EOL	NA	NA	NA	NA	NA
Notolabrus_celidotus	1203425	NA	NA	2555	AnAge;EOL;fishbase	23.9	EOL format;fishbase	NA
Notothenia_coriiceps	8208	NA	NA	NA	NA	62	EOL;fishbase	NA
Numida_meleagris	8996	1.842	ADW	NA	NA	67	ADW error unit	NA
Nyctereutes_procyonoides	34880	10	ADW	6059	AnAge	68	ADW	NA
Nyctibius_bracteatus	48426	0.058	EOL	NA	NA	NA	NA	NA
Nycticebus_coucang	9470	0.8905	AnAge	9672.5	ADW	38	ADW	NA
Nyctiprogne_leucopyga	382315	0.0282	EOL	NA	NA	NA	NA	NA
Oceanites_oceanicus	79653	NA	NA	NA	NA	42	EOL	NA
Oceanodroma_tethys	79633	0.023	EOL	NA	NA	NA	NA	NA
Ochotona_curzoniae	130825	0.2	ADW	957	ADW	17	EOL	NA
Ochotona_princeps	9978	0.176	ADW	2555	AnAge;ADW	21.6	ADW	NA
Octodon_degus	10160	0.3	ADW	5110	AnAge	44	ADW	NA
Octopus_bimaculoides	37653	NA	NA	730	ADW Octopus bimaculatus	60	ADW Octopus bimaculatus	NA
Odocoileus_virginianus	9874	137	ADW	8395	ADW;AnAge	220	ADW	NA
Odontomachus_brunneus	486640	NA	NA	NA	NA	0.9	EOL image	NA
Odontophorus_gujanensis	886794	0.298	EOL	NA	NA	NA	NA	NA
Oenanthe_oenanthe	279966	0.0306	EOL	3686.5	AnAge;EOL	NA	NA	NA
Oesophagostomum_dentatum	61180	NA	NA	NA	NA	1.4	EOL	NA
Oncorhynchus_gorbuscha	8017	6.8	fishbase	1095	AnAge;fishbase;EOL	76	fishbase;EOL	NA
Oncorhynchus_keta	8018	15.9	fishbase	2555	AnAge;fishbase;EOL	100	fishbase;EOL	NA
Oncorhynchus_kisutch	8019	15.2	fishbase	1825	ADW;AnAge;EOL;fishbase	108	fishbase;EOL	NA
Oncorhynchus_mykiss	8022	25.4	ADW;fishbase	4015	ADW;AnAge;fishbase	122	fishbase;EOL	NA
Oncorhynchus_nerka	8023	7.7	fishbase	2920	AnAge;fishbase;ADW	84	fishbase;EOL	NA
Oncorhynchus_tshawytscha	74940	61.4	fishbase;ADW	3285	AnAge;fishbase;ADW	150	fishbase;EOL	NA
Onthophagus_taurus	166361	NA	NA	160	Kotiaho 2001	1	EOL image	NA
Onychomys_torridus	38674	0.022	ADW;AnAge	1679	ADW;AnAge	13	ADW text	NA
Onychorhynchus_coronatus	360224	0.0162	EOL	NA	NA	NA	NA	NA
Onychostoma_macrolepis	369639	0.297	EOL	NA	NA	26.5	EOL;fishbase	NA
Ophiophagus_hannah	8665	8	AnAge	8212.5	AnAge;EOL	NA	NA	NA
Opisthocomus_hoazin	30419	NA	NA	NA	NA	66.04	ADW text	NA
Orbicella_faveolata	48498	NA	NA	NA	NA	120	EOL text	NA
Orcinus_orca	9733	7200	ADW	36000	EOL	975	ADW	NA
Oreocharis_arfaki	979223	0.0215	EOL	NA	NA	NA	NA	NA
Oreochromis_aureus	47969	2	fishbase	NA	NA	45.7	fishbase;EOL	NA
Oreochromis_niloticus	8128	4.3	fishbase	3285	AnAge;fishbase;EOL	60	fishbase;EOL	NA
Oreotrochilus_melanogaster	689266	0.0095	EOL	NA	NA	NA	NA	NA
Origma_solitaria	720586	0.016	EOL	2555	AnAge	NA	NA	NA
Oriolus_oriolus	181099	0.079	AnAge;EOL	5402	AnAge;EOL	NA	NA	NA
Ornithorhynchus_anatinus	9258	2.5	ADW	8249	AnAge	60	ADW	32171.8117734532
Orthonyx_spaldingii	38397	0.148	EOL	6022.5	AnAge	NA	NA	NA
Orussus_abietinus	222816	NA	NA	7	Cephus cinctus	1	web	NA
Orycteropus_afer	9818	82	ADW	10877	AnAge	158	ADW	NA
Oryctolagus_cuniculus	9986	2.5	ADW	6480	EOL	50	ADW	NA
Oryx_dammah	59534	200	ADW	10037.5	AnAge;ADW	191	EOL	NA
Oryzias_javanicus	123683	NA	NA	NA	NA	4.5	fishbase;EOL	NA
Oryzias_latipes	8090	NA	NA	1825	AnAge;EOL	4	EOL;fishbase	NA
Oryzias_melastigma	30732	NA	NA	NA	NA	4	EOL;fishbase	NA
Osmia_lignaria	473952	NA	NA	NA	NA	1	EOL image	NA
